,,,,
Procedimientos - Planes,Superintendencia,Área,Etiquetas,
PNP.DLBGICOP.0002 Operación y Control Rutas Acceso,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Procedimiento,Operación, Rutas, Seguridad",
PNP.DLBSHPLA.1083_Plan Control  y Gestion Vial Ruta Mineroducto STP,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Plan, Operación, Rutas, Seguridad",
PNP.DLBGICOP.0001 Plan Emergencia Incidentes Rutas Acceso (G21 G245),Superintendencia de Seguridad Vial,Control y Gestión Vial,"Plan, Operación, Rutas, Seguridad, Emergencias",
INSTRUCTIVO  INGRESO DE CAMIONES MIXER A LA OPERACIÓN LOS BRONCES. (Ruta G-21),Superintendencia de Seguridad Vial,Control y Gestión Vial,"Instructivo, Operación, Transporte, Seguridad",
Plan de Respuesta ante Emergencias almacenamiento SUSPEL LB,Suprintendencia de Medio Ambiente,Gestión Ambiental,"Plan, Operación, Emergencias, SUSPEL",
Plan de Respuesta ante Emergencias almacenamiento SUSPEL LT,Suprintendencia de Medio Ambiente,Gestión Ambiental,"Plan, Operación, Emergencias, SUSPEL",
Proc. Coordinación Evacuación Tronadura,Superintendencia Mina,Gestión Mina,"Procedimiento, Operación, Seguridad",
Procedimiento Acreditación Equipos ,Superintendencia de Seguridad Vial,Control y Gestión Vial,"Procedimiento, Normas, Esp.Técnicas, Operación",
Procedimiento ante Tormentas Electricas,Superintendencia de Riesgos Naturales,Operación Invierno,"Procedimiento, Invierno, Operación, Seguridad",
PROCEDIMIENTO DE CONTROL DE AVALANCHAS,Superintendencia de Riesgos Naturales,Operación Invierno,"Procedimiento, Invierno, Operación, Seguridad",
PROCEDIMIENTO OPERACION INVIERNO,Superintendencia de Riesgos Naturales,Operación Invierno,"Procedimiento, Invierno, Operación, Seguridad",
"PROCEDIMIENTO PLANIFICACIÓN, EJECUCIÓN Y EVALUACIÓN DE SIMULACROS",Superintendencia de Emergencias,Gestión Emergencias,"Procedimiento, Operación, Emergencias",
PNP.DLBSHPLA.1086 - PLAN DE GESTIÓN DE EMERGENCIAS OPERACIÓN LOS BRONCES,Superintendencia de Emergencias,Gestión de Emergencias,"Plan, Operación, Emergencias",
Plan_de_Gestión_de_Gestión_de_Prevención_de_Fatiga_y_Somnolencia_Los_Bronces,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Plan, Fatiga, Operación, Seguridad",
,,,,
,,,,
,,,,
Reglamentos,Superintendencia,Área,Etiquetas,
Reglamento General de Conducción Operación Los Bronces.,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Reglamento, Operación, Rutas, Seguridad, Conducción",
ANEXO N°1 -SOLICITUD DE AUTORIZACION INTERNA PARA CONDUCIR EN LB-LT,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°2 - LISTA DE VERIFICACION DE VEHICULOS PESADOS Y MAQUINARIA,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°3 - LISTA DE VERIFICACIÓN CAMION PLUMA,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°4 - LISTA DE VERIFICACIÓN VEHICULOS LIVIANOS,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°5 - AUTOEVALUACIÓN. LISTA DE VERIFICACIÓN DE FATIGA Y SOMNOLENCI…,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°6 -  PARA ESCOLTA PARA VEHICULOS DE SUPERFICIE,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°7 -  INSTALACION DE CADENAS PARA NIEVE,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°8 -  CAMBIO DE NEUMATICO,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°9 - FORMULARIO AUTORIZACION VEHICULOS PARTICULARES ,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°10 - KIT de emergencia para vehiculos LB,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°11 - SISTEMA DE DETECCIÓN DE FATIGA,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°12 - RETIRO DE VEHICULO EN PANNE CAMINO LB,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°13 - TRASLADO DE MATERIALES EN PICK UP,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°14 - INDUCCIÓN RIGUROSA PARA CONDUCTORES NUEVOS,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
ANEXO N°15 - SISTEMA DE DETECCIÓN DE FATIGA Y APTITUD PARA EL TRABAJO.,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Anexos, Operación, Rutas, Seguridad, Conducción",
DECRETO_3298_04_06_15_FIJASE_HORARIO_TTO_RUTA_G_21_1,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Decreto, Operación, Rutas, Seguridad, Conducción",
"DECRETO_5077_08_10_12_APRUEBASE_ORDENANZA_DE_REGULACION_HORARIO_
TRANSITO_CAMIONES_CARGA_PESADA_PELIGROSA_VEHICULOS_RUTA_G_21",Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Decreto, Operación, Rutas, Seguridad, Conducción",
MANUAL-DE-AUTORIZACIONES-PARA-TRANSPORTES ESPECIALES-SPS,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Manual, Operación, Rutas, Seguridad, Conducción",
REGLAMENTO OPERACIÓN INVIERNO,Superintendencia de Riesgos Naturales,Operación Invierno,"Reglamento, Invierno, Operación, Seguridad",
,,,,
,,,,
Estándar,Superintendencia,Área,Etiquetas,
Estandar de Vehiculos livianos V5 AA_TS_101_001_Spanish,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Estándar, Conducción, Seguridad, Operación",
ESTÁNDAR DE RED VIAL ANGLOAMERICAN OLB,Superintendencia de Riesgos Naturales,Red Vial,"Estándar, Rutas, Seguridad, Operación",
Estándar de gestión de la Fatiga - SPA_Fatigue Management Standard V1 May2021 Internal Approved,Superintendencia de Seguridad Vial,Seguridad y Salud,"Estándar, Operación, Seguridad",
ESTÁNDAR DE TRANSPORTE COBRE (ADAS),Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Estándar, Conducción, Seguridad, Operación",
ESTANDAR DE GESTIÓN EMERGENCIAS AA_TS_037,Superintendencia de Emergencias,Gestión de Emergencias,"Estándar, Operación, Emergencias",
,,,,
Auditorias Viales,Superintendencia,Área,Etiquetas,
STP PEITGSV-007 Camino Mineroducto,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
STP PEITGSV-035 Cordon de los Españoles tunel ortiga,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-008 Tranque las Tortolas,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-017 Camino Curvas Muro Principal,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-018 Camino Muro Oeste,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-019 Camino Tren Sur Oeste,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-021 Camino Secundario Tranque LT,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-022 Camino Principal - Alternativo,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-023 Camino Antiguo Salida de Concentrado,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-028 Camino Interior Planta 1,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-029 Camino interior Planta 2,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-032 Camino Alternativo a Muro Principal,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LT PEITGSV-041 Camino Bascula 2,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LB PEITGSV-009 Camino Riecillo,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LB PEITGSV-011 Camino Donoso 2,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LB PEITGSV-012 Camino Altas Cumbres,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LB PEITGSV-013 Camino Confluencia,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LB PEITGSV-014 Taller Titan,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LB PEITGSV-015 Camino Planta San Francisco,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LB PEITGSV-020 Camino Planta los Bronces,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LB PEITGSV-031 Camino Secundario ingreso torres eletricas,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LB PEITGSV-053 Perez Caldera Camino Principal y Secundario,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
LB PEITGSV-053 Perez Caldera Camino Principal y Secundario,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
01. 20230814 Revisión Certificación de Barreras - Sector El Durazno,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
PEITGSV-020 Los Bonces Camino Planta los Bronces,Superintendencia de Seguridad Vial,"Seguridad Vial
Control y Gestión Vial","Auditoría, Análisis, Rutas, Transporte",
